cid,text,time,author,channel,votes,photo,heart
UgzI7MJI1Cok8_HrNWJ4AaABAg,"It was so exciting it ended in a blink of an eye. Thanks Anjana, generators have big potential. I’m gonna experiment with them, doing state manager and renderer.",5 days ago,Alex Chugaev,UCI26kw6B8EU55agm2O37_-g,0,https://yt3.ggpht.com/ytc/AKedOLRpqj3iBPBBnx5TANK3Pj7GU7V3tRsEQnICwHL2-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-aKm7nVnA3QJ1E8t4AaABAg,"Finally we have a great explanation to generators. I knew about these for quite some time but since they are not much used, had limited knowledge on how to make them work with complex things, especially async ones. Great session.",2 days ago,Rishabh Kalra,UCDQ2Cg8Dz1Fi1dXRX0st5aA,3,https://yt3.ggpht.com/ytc/AKedOLT2Vui6_0nXnBuZ5ludRH9Gr3aKslfeMbORpGkxoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynITBxFnZUuU6lDDN4AaABAg,Amazing stuff! One of the best talks ever! 🙌,3 days ago,ADK,UCl3ABU1ONeQVJhR4rFdM2kw,0,https://yt3.ggpht.com/ytc/AKedOLQ5CGRfyaz7bk55rFkWc49S8mwcD4hl3_Qh27VgP8_uxNFxg6rVf7mAOPsV5ePn=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-BS0JSu-1s-u_ZWZ4AaABAg,"not sure if python stole from js or the other way around, but they seem to look and function identically. very fun to use, but easy to create unreasonable code imo.",1 day ago,Renê Couto e Silva,UCxpmbb8jA74lWF2amizDp4w,0,https://yt3.ggpht.com/ytc/AKedOLSFYAG-CU3oiv4R0WApuAcRonQyUVgcP5xVTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy67xI3klEG6VKWRht4AaABAg,Anjana has aged gracefully since her functional programming talk!,1 day ago,Danish Khan,UCZbPQxvDh3qcx4CnGlLI19A,0,https://yt3.ggpht.com/23CHpQICRdpqn2PSOo2j_TvNAyhscnQD6JRMS1646fNemZuuxvD3bCov4U-BWkhjT9T09aDc4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBV3jUOp0JbzARWr94AaABAg,"awesome Anjana Vakil, thanks for this masterclass",1 day ago,Matias Gummá,UCn8SoLiIJj9SUSDJ3oJmfIQ,0,https://yt3.ggpht.com/ytc/AKedOLSwZeRUCOyikqR7ERd1WWH4gMGF3Uq7adE2cdVi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBJzbfVqgLIPhn1wt4AaABAg,Thank you for speaking in this video.   I have never heard of generators but now I am curious.  Thank you.,4 days ago,C M,UCaoUb1wneO0wilTo5B54ssA,1,https://yt3.ggpht.com/ytc/AKedOLTVu5luvWM_xREwOn3I89JOl1S1pyPWF6gyKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxkjq1Mi2ida9q_s-V4AaABAg,I studied generators few years ago but this explanation is so fun man,1 day ago,VkD,UCe246VfdqaTAv0KfzvBrnzA,0,https://yt3.ggpht.com/ytc/AKedOLS7kFIGWkuI4UjqxrUi8W2Xo-oE6S-a4PLPNVIEtfE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0PKqyRCOWocXbyCt4AaABAg,I can only imagine confusion of my colleagues at work when they see generator function in my next pull request...,4 days ago,Orlov Egor,UCCIeyHrafl_WwMre627RovQ,34,https://yt3.ggpht.com/ytc/AKedOLQJOfRq-AUD4a2M1cwsZfhFslRS9K89umJMPPYDUQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAv5NrK3mFkIQwE8l4AaABAg,We want more conf with her !,6 days ago,J,UCZnqn_esAUEHTlAFbNh5bpA,7,https://yt3.ggpht.com/ytc/AKedOLSI3b-FkCEx6Sq6rZbq0_jmKIrnjW5kPaV0V5Af8n9kyqXZ_Dg5BbCAjfhAbEwr=s176-c-k-c0x00ffffff-no-rj,0.0
